City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Eyl,SO,7.9803,49.8164,75.27,68,52,19.06,broken clouds,2022-02-14 19:28:40
1,Daru,PG,-9.0763,143.2092,78.87,79,83,6.93,broken clouds,2022-02-14 19:28:40
2,Urdoma,RU,61.7533,48.5442,20.75,94,100,8.16,overcast clouds,2022-02-14 19:28:40
3,Paka,MY,4.6374,103.4368,78.73,94,96,2.3,overcast clouds,2022-02-14 19:28:41
4,Norman Wells,CA,65.282,-126.8329,-16.56,63,75,19.57,broken clouds,2022-02-14 19:28:41
5,Xining,CN,36.6167,101.7667,12.52,73,0,2.04,clear sky,2022-02-14 19:28:41
6,Zhigansk,RU,66.7697,123.3711,-39.01,99,35,3.67,scattered clouds,2022-02-14 19:28:42
7,Dikson,RU,73.5069,80.5464,-3.24,90,100,18.97,overcast clouds,2022-02-14 19:28:42
8,Ust-Tsilma,RU,65.441,52.1498,15.44,92,100,9.95,overcast clouds,2022-02-14 19:28:42
9,Juneau,US,58.3019,-134.4197,34.84,94,75,0.0,broken clouds,2022-02-14 19:24:46
10,Constitucion,CL,-35.3333,-72.4167,67.33,67,7,10.27,clear sky,2022-02-14 19:28:43
11,Victoria,HK,22.2855,114.1577,62.65,83,100,10.0,overcast clouds,2022-02-14 19:24:16
12,Port Augusta,AU,-32.5,137.7667,81.72,63,99,12.28,overcast clouds,2022-02-14 19:28:43
13,Jamestown,US,42.097,-79.2353,19.09,49,100,13.8,overcast clouds,2022-02-14 19:25:05
14,Ushuaia,AR,-54.8,-68.3,53.26,40,40,18.41,scattered clouds,2022-02-14 19:28:44
15,Butaritari,KI,3.0707,172.7902,82.06,74,35,17.25,light rain,2022-02-14 19:28:44
16,Barrow,US,71.2906,-156.7887,-25.58,62,100,8.05,overcast clouds,2022-02-14 19:26:52
17,Saint-Philippe,RE,-21.3585,55.7679,80.19,86,100,14.16,overcast clouds,2022-02-14 19:28:44
18,Punta Arenas,CL,-53.15,-70.9167,53.71,54,100,16.11,light rain,2022-02-14 19:25:16
19,Ulety,RU,51.3572,112.4849,-18.9,98,54,2.1,broken clouds,2022-02-14 19:28:45
20,Souillac,MU,-20.5167,57.5167,81.36,94,40,11.5,light rain,2022-02-14 19:28:45
21,Srednekolymsk,RU,67.45,153.6833,-33.09,99,34,6.29,scattered clouds,2022-02-14 19:28:45
22,Ponta Do Sol,PT,32.6667,-17.1,63.72,81,95,4.18,overcast clouds,2022-02-14 19:28:46
23,Rikitea,PF,-23.1203,-134.9692,78.44,68,91,9.42,overcast clouds,2022-02-14 19:28:46
24,Saldanha,ZA,-33.0117,17.9442,84.25,72,0,4.52,clear sky,2022-02-14 19:28:46
25,Hermanus,ZA,-34.4187,19.2345,71.8,80,0,16.04,clear sky,2022-02-14 19:28:47
26,Galle,LK,6.0367,80.217,78.6,80,81,7.47,broken clouds,2022-02-14 19:28:47
27,Kapaa,US,22.0752,-159.319,74.19,74,20,6.91,few clouds,2022-02-14 19:28:47
28,Lebu,CL,-37.6167,-73.65,64.94,72,1,9.35,clear sky,2022-02-14 19:28:48
29,Cidreira,BR,-30.1811,-50.2056,80.49,40,0,10.85,clear sky,2022-02-14 19:28:48
30,Ponta Delgada,PT,37.7333,-25.6667,62.51,63,20,4.61,few clouds,2022-02-14 19:28:48
31,Port Elizabeth,ZA,-33.918,25.5701,68.29,77,100,14.97,overcast clouds,2022-02-14 19:27:12
32,Wattegama,LK,6.7989,81.4808,70.95,82,93,4.63,overcast clouds,2022-02-14 19:28:49
33,Rafaela,AR,-31.2503,-61.4867,97.05,23,0,1.99,clear sky,2022-02-14 19:28:49
34,Busselton,AU,-33.65,115.3333,67.05,74,0,13.62,clear sky,2022-02-14 19:28:49
35,Port Alfred,ZA,-33.5906,26.891,70.23,79,100,23.26,overcast clouds,2022-02-14 19:28:50
36,Naze,JP,28.3667,129.4833,55.36,67,0,10.58,clear sky,2022-02-14 19:28:50
37,Kaitangata,NZ,-46.2817,169.8464,50.32,80,100,4.0,overcast clouds,2022-02-14 19:28:50
38,Gizo,SB,-8.103,156.8419,81.0,79,100,4.56,light rain,2022-02-14 19:25:09
39,Hilo,US,19.7297,-155.09,72.25,81,75,4.0,broken clouds,2022-02-14 19:28:51
40,Bezhanitsy,RU,56.9767,29.8907,31.77,82,100,11.9,overcast clouds,2022-02-14 19:28:51
41,Nome,US,64.5011,-165.4064,-2.13,55,0,9.22,clear sky,2022-02-14 19:28:11
42,Cody,US,44.5263,-109.0565,53.82,25,0,13.0,clear sky,2022-02-14 19:27:39
43,Champerico,GT,14.3,-91.9167,90.14,59,6,11.45,clear sky,2022-02-14 19:28:52
44,Japura,ID,-0.3167,102.35,73.87,98,62,2.73,broken clouds,2022-02-14 19:28:52
45,Coruripe,BR,-10.1256,-36.1756,84.2,60,100,15.1,overcast clouds,2022-02-14 19:28:52
46,Atuona,PF,-9.8,-139.0333,78.91,66,8,16.35,clear sky,2022-02-14 19:28:52
47,Kapoeta,SS,4.7717,33.5903,89.46,23,11,4.47,few clouds,2022-02-14 19:28:53
48,Meulaboh,ID,4.1363,96.1285,76.26,88,100,4.56,overcast clouds,2022-02-14 19:28:53
49,Mataura,NZ,-46.1927,168.8643,50.49,90,100,2.08,overcast clouds,2022-02-14 19:28:54
50,Shingu,JP,33.7333,135.9833,40.91,79,16,3.49,few clouds,2022-02-14 19:28:54
51,Georgetown,MY,5.4112,100.3354,78.73,94,40,4.61,scattered clouds,2022-02-14 19:27:54
52,Ekhabi,RU,53.5102,142.9671,-10.8,98,84,14.14,broken clouds,2022-02-14 19:28:54
53,Lavrentiya,RU,65.5833,-171.0,-18.26,95,34,7.7,scattered clouds,2022-02-14 19:28:55
54,Asyut,EG,27.181,31.1837,58.39,45,0,10.56,clear sky,2022-02-14 19:28:55
55,Mahebourg,MU,-20.4081,57.7,81.25,94,40,11.5,scattered clouds,2022-02-14 19:28:55
56,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,70,20,16.11,few clouds,2022-02-14 19:27:21
57,Bandar-E Lengeh,IR,26.5579,54.8807,69.89,63,0,7.67,clear sky,2022-02-14 19:28:56
58,Henties Bay,NA,-22.116,14.2845,75.85,81,17,2.57,few clouds,2022-02-14 19:28:56
59,Castro,BR,-24.7911,-50.0119,77.41,68,11,6.87,few clouds,2022-02-14 19:27:31
60,Haines Junction,CA,60.7522,-137.5108,6.75,85,100,0.0,overcast clouds,2022-02-14 19:28:56
61,Provideniya,RU,64.3833,-173.3,-10.28,91,100,12.08,overcast clouds,2022-02-14 19:28:57
62,Pauini,BR,-7.7136,-66.9764,75.76,92,100,2.21,moderate rain,2022-02-14 19:28:57
63,Bluff,NZ,-46.6,168.3333,50.81,88,100,10.69,overcast clouds,2022-02-14 19:28:57
64,Koungou,YT,-12.7336,45.2042,80.31,83,0,5.75,clear sky,2022-02-14 19:28:58
65,Harper,LR,4.375,-7.7169,79.14,80,64,3.11,light rain,2022-02-14 19:28:58
66,Tazovskiy,RU,67.4667,78.7,-13.38,99,76,9.93,broken clouds,2022-02-14 19:28:58
67,East London,ZA,-33.0153,27.9116,69.51,82,100,15.14,light rain,2022-02-14 19:28:59
68,Kayerkan,RU,69.3497,87.7602,-10.55,87,60,7.81,broken clouds,2022-02-14 19:28:59
69,Saskylakh,RU,71.9167,114.0833,-17.99,90,96,4.03,overcast clouds,2022-02-14 19:28:59
70,Verkhnyaya Toyma,RU,62.2349,44.9985,26.22,96,100,7.34,light snow,2022-02-14 19:29:00
71,Chuy,UY,-33.6971,-53.4616,81.14,40,0,11.39,clear sky,2022-02-14 19:29:00
72,Jackson,US,42.4165,-122.8345,53.47,54,75,11.5,broken clouds,2022-02-14 19:24:57
73,Nara,JP,34.6851,135.8049,39.97,76,0,2.68,clear sky,2022-02-14 19:29:01
74,Pangnirtung,CA,66.1451,-65.7125,-31.0,68,20,0.0,few clouds,2022-02-14 19:29:01
75,Ranong,TH,9.9658,98.6348,78.71,86,100,5.73,overcast clouds,2022-02-14 19:29:01
76,Nowa Deba,PL,50.4297,21.7508,37.9,75,5,11.83,clear sky,2022-02-14 19:29:02
77,Anzio,IT,41.4853,12.6179,54.73,84,100,13.2,overcast clouds,2022-02-14 19:28:51
78,Dingle,PH,10.9995,122.6711,73.45,91,100,6.35,overcast clouds,2022-02-14 19:29:02
79,Manbij,SY,36.5281,37.9549,45.37,88,4,11.01,clear sky,2022-02-14 19:29:02
80,Ilulissat,GL,69.2167,-51.1,-16.37,99,100,5.3,overcast clouds,2022-02-14 19:29:03
81,Cape Town,ZA,-33.9258,18.4232,78.12,61,0,10.36,clear sky,2022-02-14 19:25:54
82,Ancud,CL,-41.8697,-73.8203,77.23,61,9,10.36,clear sky,2022-02-14 19:29:03
83,Valdosta,US,30.8327,-83.2785,58.91,22,0,9.22,clear sky,2022-02-14 19:29:03
84,Albany,US,42.6001,-73.9662,19.81,35,73,10.0,broken clouds,2022-02-14 19:24:55
85,San Carlos,VE,9.6612,-68.5827,97.65,28,61,1.21,broken clouds,2022-02-14 19:29:04
86,Yellowknife,CA,62.456,-114.3525,-9.58,82,75,5.75,light snow,2022-02-14 19:29:04
87,Avera,US,33.194,-82.5271,56.91,30,0,12.75,clear sky,2022-02-14 19:29:04
88,Hobart,AU,-42.8794,147.3294,61.02,92,75,10.36,broken clouds,2022-02-14 19:29:05
89,Vaini,TO,-21.2,-175.2,78.96,89,20,4.61,few clouds,2022-02-14 19:29:05
90,Lompoc,US,34.6391,-120.4579,79.12,92,40,5.75,scattered clouds,2022-02-14 19:29:05
91,Port Blair,IN,11.6667,92.75,73.44,94,20,0.0,mist,2022-02-14 19:29:06
92,Fortuna,US,40.5982,-124.1573,54.93,90,100,6.91,overcast clouds,2022-02-14 19:29:06
93,Vostok,RU,46.4856,135.8833,9.03,95,100,3.76,overcast clouds,2022-02-14 19:29:06
94,Longyearbyen,SJ,78.2186,15.6401,15.64,79,75,9.22,light snow,2022-02-14 19:29:07
95,Lesnikovo,RU,55.2822,65.3175,-6.65,100,92,4.76,overcast clouds,2022-02-14 19:29:07
