City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
10,Constitucion,CL,67.33,clear sky,-35.3333,-72.4167,
25,Hermanus,ZA,71.8,clear sky,-34.4187,19.2345,
27,Kapaa,US,74.19,few clouds,22.0752,-159.319,
31,Port Elizabeth,ZA,68.29,overcast clouds,-33.918,25.5701,
32,Wattegama,LK,70.95,overcast clouds,6.7989,81.4808,
34,Busselton,AU,67.05,clear sky,-33.65,115.3333,
35,Port Alfred,ZA,70.23,overcast clouds,-33.5906,26.891,
39,Hilo,US,72.25,broken clouds,19.7297,-155.09,
44,Japura,ID,73.87,broken clouds,-0.3167,102.35,
57,Bandar-E Lengeh,IR,69.89,clear sky,26.5579,54.8807,
67,East London,ZA,69.51,light rain,-33.0153,27.9116,
78,Dingle,PH,73.45,overcast clouds,10.9995,122.6711,
91,Port Blair,IN,73.44,mist,11.6667,92.75,
101,Bredasdorp,ZA,71.28,broken clouds,-34.5322,20.0403,
104,San Patricio,US,70.21,clear sky,28.017,-97.5169,
106,Adre,TD,74.16,few clouds,13.4667,22.2,
120,Lamar,US,71.37,clear sky,33.6668,-95.5836,
125,Coquimbo,CL,71.33,clear sky,-29.9533,-71.3436,
126,Abu Dhabi,AE,69.91,clear sky,24.4667,54.3667,
127,Laguna,US,73.65,haze,38.421,-121.4238,
135,Praia,CV,73.94,clear sky,14.9215,-23.5087,
154,Agadez,NE,69.21,clear sky,19.75,10.25,
163,Kawalu,ID,72.46,overcast clouds,-7.3817,108.2082,
164,Masuguru,TZ,73.27,light rain,-11.3667,38.4167,
165,Popondetta,PG,72.75,scattered clouds,-8.7537,148.2534,
190,Alice Springs,AU,71.15,few clouds,-23.7,133.8833,
192,Saint George,US,68.47,clear sky,37.1041,-113.5841,
194,Rusape,ZW,67.96,overcast clouds,-18.5278,32.1284,
199,Cuddapah,IN,69.82,clear sky,14.4667,78.8167,
200,San Quintin,MX,70.5,clear sky,30.4833,-115.95,
204,Sal Rei,CV,72.16,broken clouds,16.1833,-22.9167,
227,Camana,PE,74.84,few clouds,-16.6228,-72.7111,
243,Bowen,AU,73.62,overcast clouds,-20.0167,148.2333,
261,Port Pirie,AU,69.89,overcast clouds,-33.1833,138.0167,
264,Flinders,AU,68.38,scattered clouds,-34.5833,150.8552,
266,Adrar,MR,66.38,overcast clouds,20.5022,-10.0711,
267,Emerald,AU,69.94,clear sky,-23.5333,148.1667,
268,Pagudpud,PH,73.11,light rain,18.5616,120.7868,
